Date,Name,Comment
Tue Jun 16 07:17:13 PDT 2009,mattmannen,I finally have time to do some BA work today.  I at least have a few hours without meetings.  
Thu Jun 25 10:20:07 PDT 2009,swgalibertarian,"Talking to a GAGOV candidate in about an hour. Time to figure out exactly what questions I want to ask him... SOOO many, not enough time! "
Thu Jun 25 08:54:43 PDT 2009,captain_jen,Why do Revolution's 2-4-1 vouchers only last until 9? We're never out before 9!  And it's so ruddy expensive.
Thu Jun 25 10:21:56 PDT 2009,UntoldElegance,"@beckymedsger You don't know how to be stealth??    Yeah, I'm just all sore and get rundown easily... but the game shouldn't be a problem!"
Thu Jun 25 10:15:41 PDT 2009,PRAYERWARRIORMA,"Amen @ Pj ,,,theyrs another special about her on tonight,,,i luvved her growin up,,,so sad "
Tue Jun 16 07:19:13 PDT 2009,Neato_Burrito,"@MATTHARDYBRAND you are so lucky to have such good friends, but I'm sure you already knew that "
Thu Jun 25 08:19:35 PDT 2009,hearts_pride,"Transferring some Songz 2 my fone, cuz i 4got the i-pod at home&quot;UAE&quot;  .. gd i hv a walkman sort fone &lt;3"
Tue Jun 16 06:51:02 PDT 2009,PearlyWrites,TY @JoshGilmore for my new Twitter background  You ROCK!
Tue Jun 16 07:19:21 PDT 2009,tallicarules,Happy Birthday @FlyAArmy Hope that your day is extra special!! I couldn't resist this...  â« http://blip.fm/~8bhbs
Thu Jun 25 08:15:34 PDT 2009,KirbySzeto,Goodbye old office   http://yfrog.com/6hmy3j
Thu Jun 25 09:24:08 PDT 2009,andrea_chii,i wish pumpkin scissors had more awesome eps that lame ass ones 
Tue Jun 16 07:46:05 PDT 2009,Raboussamai,"@Blancoei yeah that wud b crapy great! no ticket, no baggage, just lot of cash, toothbrush n' passport  great, no?"
Tue Jun 16 06:52:53 PDT 2009,Switch42,3 AM. first song he wrote that he liked. so he kept it. 
Tue Jun 16 07:01:01 PDT 2009,LucasSchmitt,morning people. 
Thu Jun 25 10:01:34 PDT 2009,KnightsDrkAngel,rip farrah fawcet...she was a true icon. its a sad day. 
Tue Jun 16 07:13:09 PDT 2009,nelly_uk7,"@OfficialAkaye Twitterberry - you are now officially a twitter addict - LOL! Thanks for sharing the pics, they're great "
Thu Jun 25 08:19:40 PDT 2009,wildchild1987,the michigan gate. im all alone. theres no one beside me.... 
Tue Jun 16 08:38:45 PDT 2009,wonder_nat,@AndrewDearling *yawns* 
Tue Jun 16 07:37:15 PDT 2009,daltonarmor,honey bun cake 
Tue Jun 16 08:00:21 PDT 2009,shirinderjit,Lights off! Good night world.. 
Tue Jun 16 08:36:57 PDT 2009,JenAvila,@unworthysaint Are you having fun? 
Thu Jun 25 09:09:01 PDT 2009,haleymillfred,"Oh, also, I'm eating then going to another doctors appointment. "
Thu Jun 25 10:18:20 PDT 2009,sheBAKES,@Marissacre I tried thinking of a second line and couldn't 
Tue Jun 16 08:28:46 PDT 2009,zephyrLove,getting dressed &amp; getting out!! much to do before tomorrow...excited for my hubby's bday! woohoo 
Thu Jun 25 10:26:38 PDT 2009,ellekay12,@stixizza where r u friend??? i miss u 
Tue Jun 16 08:38:42 PDT 2009,bendotorg,Largest/fastest hotspot in U.S.A. is located in Atlanta. Suck it people outside the ATL  JK...no idea how to use it! http://bit.ly/eDjz7
Thu Jun 25 09:01:04 PDT 2009,moledude,&quot;seek me and you will find me&quot;.....     I can't find Him. What am i doing wrong? This is frustrating. I want to hold her again.... 
Tue Jun 16 08:01:44 PDT 2009,colorarmy,"working on new stuff, really enjoying learning Illustrator "
